,Interpolation_w1,Interpolation_w2,Metric_Month,Value,Metric,Month,Interpolation
0,1.0,0.0,NDCG5_Jan,32.82,NDCG5,Jan,1.0:0.0
1,0.9,0.1,NDCG5_Jan,33.08,NDCG5,Jan,0.9:0.1
2,0.8,0.2,NDCG5_Jan,32.12,NDCG5,Jan,0.8:0.2
3,0.7,0.3,NDCG5_Jan,30.43,NDCG5,Jan,0.7:0.3
4,0.6,0.4,NDCG5_Jan,28.71,NDCG5,Jan,0.6:0.4
5,0.5,0.5,NDCG5_Jan,27.75,NDCG5,Jan,0.5:0.5
6,0.4,0.6,NDCG5_Jan,26.1,NDCG5,Jan,0.4:0.6
7,0.3,0.7,NDCG5_Jan,24.61,NDCG5,Jan,0.3:0.7
8,0.2,0.8,NDCG5_Jan,25.07,NDCG5,Jan,0.2:0.8
9,0.1,0.9,NDCG5_Jan,25.08,NDCG5,Jan,0.1:0.9
10,0.0,1.0,NDCG5_Jan,24.76,NDCG5,Jan,0.0:1.0
11,1.0,0.0,NDCG5_Jun,29.45,NDCG5,Jun,1.0:0.0
12,0.9,0.1,NDCG5_Jun,30.59,NDCG5,Jun,0.9:0.1
13,0.8,0.2,NDCG5_Jun,31.57,NDCG5,Jun,0.8:0.2
14,0.7,0.3,NDCG5_Jun,30.73,NDCG5,Jun,0.7:0.3
15,0.6,0.4,NDCG5_Jun,30.68,NDCG5,Jun,0.6:0.4
16,0.5,0.5,NDCG5_Jun,30.6,NDCG5,Jun,0.5:0.5
17,0.4,0.6,NDCG5_Jun,30.8,NDCG5,Jun,0.4:0.6
18,0.3,0.7,NDCG5_Jun,30.58,NDCG5,Jun,0.3:0.7
19,0.2,0.8,NDCG5_Jun,30.84,NDCG5,Jun,0.2:0.8
20,0.1,0.9,NDCG5_Jun,31.09,NDCG5,Jun,0.1:0.9
21,0.0,1.0,NDCG5_Jun,31.66,NDCG5,Jun,0.0:1.0
22,1.0,0.0,NDCG5_Dec,27.78,NDCG5,Dec,1.0:0.0
23,0.9,0.1,NDCG5_Dec,29.42,NDCG5,Dec,0.9:0.1
24,0.8,0.2,NDCG5_Dec,31.43,NDCG5,Dec,0.8:0.2
25,0.7,0.3,NDCG5_Dec,32.88,NDCG5,Dec,0.7:0.3
26,0.6,0.4,NDCG5_Dec,36.2,NDCG5,Dec,0.6:0.4
27,0.5,0.5,NDCG5_Dec,37.17,NDCG5,Dec,0.5:0.5
28,0.4,0.6,NDCG5_Dec,36.69,NDCG5,Dec,0.4:0.6
29,0.3,0.7,NDCG5_Dec,37.41,NDCG5,Dec,0.3:0.7
30,0.2,0.8,NDCG5_Dec,38.57,NDCG5,Dec,0.2:0.8
31,0.1,0.9,NDCG5_Dec,38.71,NDCG5,Dec,0.1:0.9
32,0.0,1.0,NDCG5_Dec,39.7,NDCG5,Dec,0.0:1.0
33,1.0,0.0,NDCG10_Jan,33.07,NDCG10,Jan,1.0:0.0
34,0.9,0.1,NDCG10_Jan,33.26,NDCG10,Jan,0.9:0.1
35,0.8,0.2,NDCG10_Jan,31.99,NDCG10,Jan,0.8:0.2
36,0.7,0.3,NDCG10_Jan,29.86,NDCG10,Jan,0.7:0.3
37,0.6,0.4,NDCG10_Jan,28.15,NDCG10,Jan,0.6:0.4
38,0.5,0.5,NDCG10_Jan,26.79,NDCG10,Jan,0.5:0.5
39,0.4,0.6,NDCG10_Jan,25.78,NDCG10,Jan,0.4:0.6
40,0.3,0.7,NDCG10_Jan,24.95,NDCG10,Jan,0.3:0.7
41,0.2,0.8,NDCG10_Jan,25.27,NDCG10,Jan,0.2:0.8
42,0.1,0.9,NDCG10_Jan,24.69,NDCG10,Jan,0.1:0.9
43,0.0,1.0,NDCG10_Jan,25.24,NDCG10,Jan,0.0:1.0
44,1.0,0.0,NDCG10_Jun,29.61,NDCG10,Jun,1.0:0.0
45,0.9,0.1,NDCG10_Jun,30.09,NDCG10,Jun,0.9:0.1
46,0.8,0.2,NDCG10_Jun,30.16,NDCG10,Jun,0.8:0.2
47,0.7,0.3,NDCG10_Jun,30.9,NDCG10,Jun,0.7:0.3
48,0.6,0.4,NDCG10_Jun,31.04,NDCG10,Jun,0.6:0.4
49,0.5,0.5,NDCG10_Jun,31.18,NDCG10,Jun,0.5:0.5
50,0.4,0.6,NDCG10_Jun,31.09,NDCG10,Jun,0.4:0.6
51,0.3,0.7,NDCG10_Jun,31.02,NDCG10,Jun,0.3:0.7
52,0.2,0.8,NDCG10_Jun,30.62,NDCG10,Jun,0.2:0.8
53,0.1,0.9,NDCG10_Jun,30.64,NDCG10,Jun,0.1:0.9
54,0.0,1.0,NDCG10_Jun,30.13,NDCG10,Jun,0.0:1.0
55,1.0,0.0,NDCG10_Dec,28.0,NDCG10,Dec,1.0:0.0
56,0.9,0.1,NDCG10_Dec,28.82,NDCG10,Dec,0.9:0.1
57,0.8,0.2,NDCG10_Dec,30.09,NDCG10,Dec,0.8:0.2
58,0.7,0.3,NDCG10_Dec,32.61,NDCG10,Dec,0.7:0.3
59,0.6,0.4,NDCG10_Dec,34.4,NDCG10,Dec,0.6:0.4
60,0.5,0.5,NDCG10_Dec,35.68,NDCG10,Dec,0.5:0.5
61,0.4,0.6,NDCG10_Dec,36.31,NDCG10,Dec,0.4:0.6
62,0.3,0.7,NDCG10_Dec,36.76,NDCG10,Dec,0.3:0.7
63,0.2,0.8,NDCG10_Dec,36.54,NDCG10,Dec,0.2:0.8
64,0.1,0.9,NDCG10_Dec,36.46,NDCG10,Dec,0.1:0.9
65,0.0,1.0,NDCG10_Dec,36.76,NDCG10,Dec,0.0:1.0
